Instrument: Clarinet,I. DENNER (Nuremberg),1st half of the 18th Century,,,,,,
Cat. No.: 223,,,,,,,,
,,,,,,,,
PART: BARREL (Page 1),,,,,,,,
Length (mm),Inside diameter min (mm),Inside diameter max (mm),Outside diameter min (mm),Outside diameter max (mm),Wall thickness min (mm),Wall thickness max (mm),Remarks,
2,,,,2.4,2.4,3.2,3.2,
3,,,4.6,17.9,3.2,3.2,,
4,,,4.8,18.2,18.6,4.1,5.2-,
5,,,8.1,18.7,4.3,4.3,,
10,12.9,,18.9,,,Bore/Cutout,,
20,13.2,,12.6,,4.5,4.5,,
25,13.4,,15.6,18.9,2.75,2.75,,
26,13.6,,16.1,18.7,,,,
30,13.8,,,,,,,
32,14,,,,,,,
43,14.2,,16.4,19,2.4,2.4,,
44,14.1,14.2,16.5,19.2,2.5,2.5,,
46,,,19.1,19.3,2.5,2.55,,
50,14.3,14.4,,,,,,
52,14.4,14.5,,,,,,
54,,,20,19.8,,,,
55,,,21.1,20.9,,,,
56,,,21.7,21.9,,,,
57,,,23.1,23.3,4.35,4.4,,
58,14.4,14.5,21.9,22.1,,,,
60,,,22.6,22.8,,,,
61,,,22.3,22.5,,,,
69,,,26.7,26.8,6.15,6.15,,
75,14.4,14.5,,,,,,
76,,,34.4,34.6,6.8,7,Heart,
85,,,30.2,30.4,4.2,,,
99,,,,,4.3,,,
,,,,,,,,
PART: MIDDLE JOINT (Page 2),,,,,,,,
Length (mm),Inside diameter min (mm),Inside diameter max (mm),Outside diameter min (mm),Outside diameter max (mm),Wall thickness min (mm),Wall thickness max (mm),Remarks,
0,14.8,15,,,,,Tenon,
7,14.8,14.9,,18.9,19.1,2.05,2.05,
12,14.6,14.8,,19.8,19.9,2.55,2.6,
19,,,,29.8,29.9,7.55,7.6,
20,,,,30.9,31,8.1,8.15,
22,,,27.7,27.8,,,,
26,,,27.6,27.8,,,,
29,,,29.1,29,,,Key cover base,
32,,,28,27.9,,,,
Center of Bb key hole,,,,26.9,27,6.1,6.15,Diameter 2.7 mm
40,14.6,14.8,,26.3,26.5,5.85,5.85,
44,,,,27.7,27.8,,,
50,,,,27.3,27.4,,,
55,,,,31.7,31.8,8.5,8.55,
59,,,,27.2,27.3,,,
60,,,,27.5,27.5,,,
61,,,,26.1,26.2,,,
62,14.6,14.7,,26.2,26.2,5.75,5.75,Key cover base
68,14.7,14.7,,,,,,
72,14.7,14.7,,,,,,
Center of A key hole,,,,26.3,26.4,,,Diameter 6.5 mm
76,,,,27.6,27.7,,,
80,,,,27.2,27.3,,,
83,,,,31.4,31.6,8.4,8.4,
92,,,,27,27.1,,,
98,14.6,14.8,,27.2,27.3,,,
99,,,,26.4,26.5,,,
105,14.6,14.7,,26,26.1,5.7,5.7,Center of thumb hole (7.3 mm)
111,,,,,,,,Center of 6th finger hole (6.7 mm)
118,,,,25.8,26,5.6,5.65,Center of 5th finger hole (7.2 mm)
128,,,,25.9,25.7,5.55,5.65,Center of 4th finger hole (7.1 mm)
143,,,,25.6,25.7,,,
193,,,,20.3,20.4,2.85,2.9,
194,14.6,14.6,,19.1,18.9,2.45,2.05,Tenon
198,14.7,14.7,,,,,,
203,14.8,14.9,,,,,,
211,14.8,15,,,,,,
,,,,,,,,
PART: HEART JOINT (Page 3),,,,,,,,
Length (mm),Inside diameter min (mm),Inside diameter max (mm),Outside diameter min (mm),Outside diameter max (mm),Wall thickness min (mm),Wall thickness max (mm),Remarks,
0,,,26,26.2,2.2,2.3,Heart,
2,,,26.1,26.2,,,,
3,,,28.9,29,,,,
13,,,37.9,37.6,8.6,8.4,,
19,15,15.2,,,,,,
21,14.9,15,26.4,26.3,,,,
23,,,25.1,25,,,,
25,14.9,,,,,,,
26,,,24.7,24.8,,,,
33,15,,24.1,24.3,4.6,4.65,Center of 3rd finger hole (7.1 mm),
47,14.8,14.9,,24.1,24.1,,,Center of 2nd finger hole (7.0 mm)
64,14.8,14.8,,,,,,
71,14.7,14.7,23.6,23.9,4.4,4.55,,
80,14.8,14.8,,,,,,
88,14.8,14.8,23.6,23.8,4.45,4.5,Center of 1st finger hole (7.1 mm),
101,,,20.4,20.2,2.75,2.8,,
103,14.7,14.8,20.3,20,2.6,2.65,Tenon,
117,14.8,15,,,,,,
,,,,,,,,
PART: LOWER JOINT WITH BELL (Page 4-5),,,,,,,,
